customer_id,activity_month,month_end_balance,incoming_amount,outgoing_amount,transaction_count,card_transaction_count,digital_login_count,mobile_app_sessions,branch_visit_count,call_center_contacts,complaints_opened,complaints_resolved,average_resolution_days,failed_transaction_count,inactive_days,service_rating,salary_deposit_flag,product_usage_score,customer_status_lookup,churn_date_lookup,activity_timing_check,card_tx_check,post_churn_flag,customer_value_segment_lookup,customer_status_lookup,salary_deposit_numeric
C00003,2025-06-01,17426.31,9244.3,11927.73,22,10,19,26,0,0,1,1,2.9,0,8,4.6,TRUE,49.7,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-07-01,20855.82,9405.55,9704.75,26,15,14,18,1,0,0,0,,2,8,3.8,TRUE,49.9,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-08-01,16021.65,12975.97,12713.99,25,13,12,12,1,0,0,0,,1,0,3.3,TRUE,46.5,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-09-01,11260.04,10197.51,11648.11,17,4,17,22,2,1,0,0,,0,6,4.3,TRUE,42,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00003,2025-10-01,10051.95,6680.63,7757.86,7,4,16,14,2,0,0,0,,1,16,3.8,FALSE,34.7,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00003,2025-11-01,7949.47,9044.17,8627.03,15,12,16,25,1,0,0,0,,0,11,3.4,FALSE,43.4,Churned,11/4/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00003,2025-12-01,5726.12,10689.9,11203.63,5,0,7,10,0,0,1,1,5,0,18,3.5,FALSE,23.2,Churned,11/4/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,0
C00004,2025-01-01,57725.06,12543.98,12985.81,42,18,10,11,0,0,0,0,,0,0,4.1,TRUE,57.7,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-02-01,51561.93,7646.94,11982.79,55,27,10,11,1,0,1,1,2.7,0,6,4.2,FALSE,70,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00004,2025-03-01,56021.94,11550.77,12480.29,44,23,24,12,1,0,0,0,,2,8,4.2,TRUE,74.3,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-04-01,60531.37,10685.57,11331.25,51,33,16,17,2,0,0,0,,1,4,4.2,TRUE,75.8,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-05-01,60231.57,11974.1,11828.93,55,26,15,9,1,1,0,0,,0,1,4.2,TRUE,74.2,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-06-01,58866.22,8929.62,9486.32,45,24,11,4,1,2,0,0,,0,5,4.8,TRUE,63.2,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-07-01,56605.99,7803.08,12435.68,63,37,4,2,1,0,0,0,,0,9,3.6,FALSE,71.2,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00004,2025-08-01,63263.03,11812.42,18332.64,53,36,17,12,0,4,0,0,,0,7,4.5,TRUE,78.9,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-09-01,56308.81,7857.53,13273.08,39,22,10,6,0,1,0,0,,1,11,4.6,TRUE,57.6,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-10-01,47985.57,10088.26,10818.76,35,20,14,13,1,0,0,0,,1,2,3.2,TRUE,57.9,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-11-01,61066.92,9191.58,12177.41,49,28,11,5,0,0,0,0,,0,3,4.3,TRUE,67.6,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00004,2025-12-01,55834.55,9160.29,12161.57,47,25,15,3,0,1,0,0,,0,5,4.1,FALSE,68.7,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00005,2025-01-01,11008.35,13980.73,18396.66,45,21,16,25,3,0,0,0,,1,10,4.2,TRUE,66.5,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-02-01,13024.75,9702.41,9918.4,48,25,13,11,0,0,0,0,,0,7,4.1,TRUE,67.5,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-03-01,9609.06,11642.94,16911.56,46,25,6,6,1,1,0,0,,2,1,3.5,TRUE,59.7,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-04-01,9327.63,13064.93,17929.12,53,30,13,10,1,0,0,0,,2,4,3.5,TRUE,72.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-05-01,9191.82,8872.89,15512.66,44,21,8,8,2,0,0,0,,1,10,4.4,TRUE,58.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-06-01,11270.79,8850.23,11364.2,35,24,8,6,0,0,0,0,,1,5,3.3,FALSE,54.1,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00005,2025-07-01,7849.18,9158.16,9899.34,44,27,11,8,1,0,0,0,,0,8,3.5,TRUE,64,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-08-01,8247.06,13840.42,17235.16,37,18,7,11,0,0,2,2,8.1,2,2,3.3,TRUE,51.7,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-09-01,1148.79,12803.5,14249.32,26,18,3,2,1,0,0,0,,0,13,3.4,TRUE,41,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-10-01,2521.36,10997.84,12594.31,22,11,10,10,2,2,2,1,2.3,2,14,3.4,FALSE,41.8,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00005,2025-11-01,-701.55,9220.41,12090.55,33,18,13,12,0,1,0,1,6.3,0,9,3.7,TRUE,54.8,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00005,2025-12-01,-1559.02,8085.46,10358.42,20,12,9,6,1,0,0,0,,0,9,3.8,FALSE,40.1,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00006,2025-01-01,1306.46,8703.53,8640.3,33,17,28,26,1,0,0,0,,1,0,4,TRUE,72.8,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-02-01,2451.33,12083.49,12977.87,25,10,35,22,1,1,0,0,,0,9,3.8,TRUE,66.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-03-01,2044.34,9837.51,9992.04,27,15,31,23,0,1,0,0,,0,5,4.9,TRUE,70,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-04-01,3147.72,12964.54,12231.47,26,15,36,24,0,0,0,0,,0,8,4,TRUE,69.3,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-05-01,2581.44,11392.86,11346.49,45,30,33,30,0,2,0,0,,1,2,5,TRUE,88.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-06-01,3780.29,9508.44,12227.53,41,31,25,18,2,0,0,0,,1,2,4.5,FALSE,81.5,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00006,2025-07-01,2017.94,13506.05,14842.38,43,23,37,35,0,2,0,0,,1,1,4.6,TRUE,83.7,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-08-01,1624.57,10575.86,13784.43,32,23,25,22,1,0,0,0,,2,1,4.5,TRUE,72.1,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-09-01,2460.96,12402.78,16708.68,56,39,40,35,0,0,0,0,,0,2,4.3,TRUE,97.5,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-10-01,2274.8,10440,11541.01,33,22,44,33,0,0,0,0,,1,0,3.5,TRUE,77,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-11-01,1925,8252.77,13162.16,42,21,36,24,1,0,0,0,,0,3,4.2,TRUE,82.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00006,2025-12-01,3895.68,9804.78,11491.36,32,21,38,36,1,0,0,0,,0,1,4.2,TRUE,75.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00007,2025-01-01,20238.94,7086.03,8396,50,28,17,15,0,0,0,0,,0,0,4.8,FALSE,69.3,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00007,2025-02-01,19150.79,11466.26,16521.61,61,37,14,18,0,0,0,0,,1,10,4.3,TRUE,76.1,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-03-01,19996.42,13154.8,10774.52,54,35,20,15,0,0,0,0,,0,0,4,TRUE,77.9,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-04-01,18563.88,10928.4,12441.2,43,20,19,24,0,1,1,1,4.2,0,7,4,TRUE,63.1,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-05-01,20340.98,14165.47,13336.77,53,37,25,19,2,1,0,0,,2,10,4.6,TRUE,81.9,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-06-01,22902.77,9236.16,12386.75,34,22,20,16,1,1,0,0,,0,1,4.5,TRUE,59.3,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-07-01,25281.1,16044.35,25619.44,55,27,16,18,1,0,0,0,,0,4,5,TRUE,71.1,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-08-01,24510.3,14438.97,14695.18,57,28,13,11,0,0,0,0,,0,0,4.7,TRUE,70,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-09-01,27054.11,10987.53,12667.43,59,36,28,28,0,0,0,0,,4,0,4.4,TRUE,88.5,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-10-01,25216.02,14628.15,15981.04,42,20,24,23,2,1,0,0,,0,1,4.8,TRUE,67.1,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00007,2025-11-01,24714.89,8339.86,8459.48,56,33,25,22,1,1,0,0,,0,3,4.3,FALSE,82.9,Churned,11/9/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00007,2025-12-01,27078.19,9473.54,12862.95,54,32,25,11,0,1,0,0,,0,4,4.5,TRUE,81.2,Churned,11/9/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,1
C00008,2025-01-01,16229.76,10577.07,15693.89,56,6,12,13,1,0,0,0,,0,4,4.9,TRUE,58.4,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-02-01,12720.46,6356.65,11488.41,50,4,15,15,1,0,0,0,,1,7,5,FALSE,56.5,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00008,2025-03-01,13671.66,7435.29,13442.7,43,0,12,7,2,1,0,0,,0,0,4.3,TRUE,47.4,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-04-01,12708.24,6224.2,9485.62,57,7,14,17,0,1,1,0,,0,3,3.9,FALSE,61.4,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00008,2025-05-01,12126.94,10152.86,11879.45,48,7,15,17,2,0,0,0,,0,0,4.7,TRUE,56.6,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-06-01,11343.08,8837.85,8560.14,35,7,16,11,1,0,2,2,2.6,1,0,3.7,TRUE,49.3,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-07-01,10732.63,7328.07,9597.98,37,6,9,9,0,1,1,2,4,0,6,4.2,TRUE,43.6,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-08-01,8568.99,11514.62,15945.66,43,8,9,5,1,0,1,1,1.9,1,12,4.2,TRUE,48.3,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00008,2025-09-01,3046.92,6563.62,6816.35,28,0,15,13,0,1,1,0,,0,1,4.2,FALSE,40.7,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00008,2025-10-01,859.67,6690.44,8146.79,15,4,10,10,0,0,0,1,1.6,1,16,4.4,FALSE,29.7,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00008,2025-11-01,3077.59,9007.63,8530.22,24,3,7,0,1,3,0,0,,0,13,5,FALSE,32.1,Churned,11/2/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00008,2025-12-01,-2414.73,6454.53,6940.2,25,3,7,9,1,2,3,3,3.5,0,10,3.8,FALSE,32.7,Churned,11/2/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,0
C00009,2025-01-01,117195.2,24268.8,21887.63,64,38,26,26,1,0,1,0,,1,3,3.4,TRUE,87.3,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-02-01,116677.26,34921.18,45672.44,66,40,28,23,0,0,0,1,5.8,1,0,4.3,TRUE,89.1,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-03-01,151815.54,33125.06,33329.29,59,33,31,26,1,0,0,0,,1,2,4.2,TRUE,89.5,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-04-01,128209.23,36453.78,42853.14,75,45,31,33,2,0,0,0,,0,0,3.7,TRUE,91,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-05-01,130645.3,28352.94,35153,66,31,30,19,1,0,0,0,,3,6,5,TRUE,89.2,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-06-01,114055.08,19362.1,23158.39,59,30,28,21,0,0,0,0,,0,0,4.1,FALSE,86.2,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00009,2025-07-01,137743.2,32753,43443.01,54,26,29,19,0,0,0,0,,0,8,4.7,TRUE,82.2,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-08-01,124673.86,30470.76,30210.28,61,37,30,25,0,0,0,0,,0,1,4.9,TRUE,91,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-09-01,132398.23,23903.96,26827.04,62,32,34,34,0,1,0,0,,0,0,4,FALSE,89.6,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00009,2025-10-01,133967.58,24783.46,28568.35,48,32,29,24,0,2,1,1,2.4,1,4,4.4,FALSE,81.1,Active,,Valid or active,Valid,FALSE,High Value,Active,0
C00009,2025-11-01,120264.81,26682.42,32515.16,67,35,32,11,1,0,0,0,,0,4,4.4,TRUE,91,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00009,2025-12-01,128492.2,29673.97,38520.89,62,34,36,37,0,0,0,0,,2,0,4.3,TRUE,90.5,Active,,Valid or active,Valid,FALSE,High Value,Active,1
C00010,2025-01-01,17769.38,11267.7,16965.99,47,25,8,5,0,0,0,0,,0,1,4.2,FALSE,57.7,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00010,2025-02-01,21246.9,11689.87,15839.53,61,41,15,12,0,1,0,0,,2,0,4,TRUE,77,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-03-01,19267.57,7854.3,9377.99,42,19,11,12,1,0,0,0,,0,2,4.7,FALSE,54.6,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00010,2025-04-01,22481.77,9512.46,11054.78,48,33,3,0,0,0,1,0,,1,0,3.8,TRUE,57.3,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-05-01,20880.76,12477.35,12609.18,47,24,14,15,1,1,0,1,4.7,0,12,4.2,TRUE,62.8,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-06-01,19683.6,13900.18,18287.81,48,25,13,17,0,0,0,0,,1,1,4.4,TRUE,63,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-07-01,24366.3,12593.06,10924.56,63,30,11,15,3,0,0,0,,0,0,3.8,TRUE,71,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-08-01,19818.56,8790.98,12405.99,55,39,12,9,3,0,0,0,,1,0,3.8,TRUE,71,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-09-01,17621.18,12028.27,14299.35,45,29,12,16,0,0,0,0,,0,8,4.1,TRUE,62,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-10-01,20370.39,10626.9,12485.09,49,23,10,9,0,1,0,0,,0,8,4.7,TRUE,59.9,Churned,10/6/2025,Valid or active,Valid,FALSE,Lower Value,Churned,1
C00010,2025-11-01,21414.81,13499.72,13338.65,52,36,11,12,0,0,0,0,,0,6,3.9,TRUE,68.2,Churned,10/6/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,1
C00010,2025-12-01,20086.12,13725.48,22192.03,53,31,3,3,1,2,0,0,,0,5,4.7,TRUE,59.5,Churned,10/6/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,1
C00011,2025-01-01,14122.5,27559.56,34755.35,44,26,25,24,1,0,0,0,,0,3,4.5,TRUE,76.6,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-02-01,10455.58,23518.88,20268.22,41,26,25,27,1,1,0,0,,1,5,4,TRUE,74.7,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-03-01,12487.66,22910.95,27601.06,52,36,15,7,0,0,0,0,,2,15,4.4,TRUE,76.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-04-01,13860.03,19345.27,28491.46,49,22,22,17,1,0,0,0,,3,2,3.9,TRUE,75.1,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-05-01,14166.56,18301.62,21901.02,33,24,31,29,0,0,0,0,,1,0,3.8,TRUE,73.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-06-01,11040.61,22167.33,24736.71,50,35,30,24,1,1,0,0,,0,3,4.4,TRUE,89.2,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-07-01,13164.45,22362.19,21522.24,47,26,21,18,1,1,0,0,,2,6,4.1,TRUE,74.8,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-08-01,11097,20645.06,21941.39,49,19,26,15,0,1,0,0,,1,3,3.7,TRUE,77.5,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-09-01,12122.75,25649.73,27755.53,55,28,18,7,1,0,0,0,,1,5,4.3,TRUE,77.9,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-10-01,12478.56,22471.09,19355.21,49,26,21,12,0,1,0,0,,0,3,4.4,TRUE,76,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-11-01,10996.71,30749.76,26974.42,38,18,18,20,0,0,0,0,,0,7,3.5,TRUE,62.6,Active,,Valid or active,Valid,FALSE,Lower Value,Active,1
C00011,2025-12-01,9954.24,23371.37,21687.08,42,21,20,17,0,0,0,0,,0,0,3.5,FALSE,68.4,Active,,Valid or active,Valid,FALSE,Lower Value,Active,0
C00012,2025-01-01,-4494.06,4123.66,5895.55,22,0,28,21,1,0,1,0,,0,2,4.3,FALSE,44.6,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-02-01,-4962.36,3116.16,4055.77,36,0,26,30,2,1,1,2,10.3,0,0,3.3,FALSE,51.6,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-03-01,-4318.98,2608.63,5805.63,26,3,19,25,1,0,0,0,,0,0,3.6,FALSE,40.1,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-04-01,-4010.05,4265.03,3947.45,11,1,13,8,1,0,1,0,,1,12,3.2,FALSE,24.1,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-05-01,-2537.42,4204.23,4456.03,17,0,17,23,3,1,0,1,5.8,0,8,3.3,FALSE,31.1,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-06-01,-4333.81,3118.64,3137.08,20,3,17,16,1,1,0,0,,0,8,3.7,FALSE,34.4,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-07-01,-4909.21,3228.2,5441.02,21,5,17,13,1,1,1,1,5.2,0,3,3.1,FALSE,36,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-08-01,-2335.48,4275.05,5549.27,31,0,18,23,0,0,2,0,,1,9,3.5,FALSE,40.9,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-09-01,-7820.04,3215.07,3172.68,5,3,15,21,0,0,0,2,4.2,0,16,3.4,FALSE,23,Churned,9/23/2025,Valid or active,Valid,FALSE,Lower Value,Churned,0
C00012,2025-10-01,-4358.77,3771.19,3438.51,13,7,7,3,0,0,1,1,5.8,0,17,3,FALSE,22.5,Churned,9/23/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,0
C00012,2025-11-01,-4929.34,4382.31,6073.39,16,0,12,25,1,1,0,0,,0,12,2.5,FALSE,25.8,Churned,9/23/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,0
C00012,2025-12-01,-6257.21,2807.95,4293.08,10,5,5,0,0,2,3,2,6.7,0,19,2.9,FALSE,17.8,Churned,9/23/2025,Post-churn activity,Valid,TRUE,Lower Value,Churned,0
